Fofunkcio;Funkcio;Fejezet;Cím;Alcim;Jogcim1;Jogcim2;Ecs;Ke;Nev;Működési kiadás;Működési bevétel;Felhalmozási kiadás;Felhalmozási bevétel;Kiadas;Bevetel
F08;F08.b;FJ35;0;0;0;0;0;0;XXXV. NEMZETI KUTATÁSI, FEJLESZTÉSI ÉS INNOVÁCIÓS HIVATAL;;;;;0;0
F01;F01.d;FJ35;1;0;0;0;0;0;NKFI Hivatal;;2 711,00;;50;0;2761
F01;F01.d;FJ35;1;0;0;0;1;0;Működési költségvetés;;;;;0;0
F01;F01.d;FJ35;1;0;0;0;1;1;Személyi juttatások;1 961,30;;;;1961,3;0
F01;F01.d;FJ35;1;0;0;0;1;2;Munkaadókat terhelő járulékok és szociális hozzájárulási adó;523,3;;;;523,3;0
F01;F01.d;FJ35;1;0;0;0;1;3;Dologi kiadások;1 926,30;;;;1926,3;0
F01;F01.d;FJ35;1;0;0;0;2;0;Felhalmozási költségvetés;;;;;0;0
F01;F01.d;FJ35;1;0;0;0;2;6;Beruházások;;;65;;65;0
F01;F01.d;FJ35;2;0;0;0;0;0;Fejezeti kezelésű előirányzatok;;;;;0;0
F01;F01.d;FJ35;2;1;0;0;0;0;Nemzetközi tagdíjak;2 676,40;498,9;;;2676,4;498,9
F01;F01.a;FJ35;2;3;0;0;0;0;Fejezeti stabilitási tartalék;39,7;;;;39,7;0
F01;F01.d;FJ35;2;4;0;0;0;0;MTA Agrártudományi Kutatóközpont fejlesztéséhez kapcsolódó beruházások támogatása;;;2 000,00;;2000;0
F01;F01.d;FJ41;0;0;0;0;0;0;XLI. ADÓSSÁGSZOLGÁLATTAL KAPCSOLATOS BEVÉTELEK ÉS KIADÁSOK;;;;;0;0
F01;F01.d;FJ41;1;0;0;0;0;0;Devizában fennálló adósság és követelések kamatelszámolásai;;;;;0;0
F01;F01.d;FJ41;1;1;0;0;0;0;Devizahitelek kamatelszámolásai;;;;;0;0
F15;F15;FJ41;1;1;1;0;0;0;Nemzetközi pénzügyi szervezetektől felvett devizahitelek kamata;22 192,90;;;;22192,9;0
F15;F15;FJ41;1;1;2;0;0;0;Egyéb devizahitelek kamata;;;;;0;0
